id,stock_code,stock_name,report_quarter,report_year,report_date,quarter_revenue,quarter_net_profit,quarter_deducted_net_profit,revenue_yoy,net_profit_yoy,deducted_net_profit_yoy,basic_eps,eps_yoy,bps,roe,gross_margin,ttm_revenue,ttm_net_profit,created_at
mm3mcljh8q9arzs4i,300738,奥飞数据,2022Q3,2022,2022-09-30,826647142.57,111144370.18,97153821.6,-10.5576783644,-9.95,-29.62,0.1348,-24.99,2.284259776998,6.86,28.9053203725,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljhxj0kzcocd,300738,奥飞数据,2022Q4,2022,2022-12-31,1097434584.65,165673883.11,108774948.22,-8.9228714322,14.58,-28.81,0.2006,-4.7,2.365077168465,10.08,28.1912764102,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh3s4lj9bqh,300738,奥飞数据,2023Q1,2023,2023-03-31,320111122.64,44161822.79,42005194.97,18.7780131387,4.49,36.49,0.0533,-13.33,2.434269296452,2.5,28.7669707227,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh56xbeal5q,300738,奥飞数据,2023Q2,2023,2023-06-30,667115239.82,73472550.74,69118751.18,21.6495004697,-1.62,8.42,0.0831,-8.28,3.043764802059,3.37,27.7552831052,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh097hwr79v,300738,奥飞数据,2023Q3,2023,2023-09-30,1039058761.83,122667578.55,116892596.71,25.6955608169,10.37,20.32,0.1352,0.3,3.09554583009,4.96,27.6629661189,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh55jc07stu,300738,奥飞数据,2023Q4,2023,2023-12-31,1334794540.87,141328046.51,126902287.74,21.6286200143,-14.7,16.66,0.15,-25.22,3.09903317487,5.22,27.230832463,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh0hbmr1vzc,300738,奥飞数据,2024Q1,2024,2024-03-31,381152040.54,50500519.69,53391669.48,19.0686650925,14.35,27.11,0.053,-0.56,3.227141730364,1.63,31.0763149614,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljhta193tt2n,300738,奥飞数据,2024Q2,2024,2024-06-30,1060983158.96,75713680.62,80958560.34,59.0404619217,3.05,17.13,0.0789,-5.05,3.251494030735,2.43,23.9664460112,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljhlagvf7d3d,300738,奥飞数据,2024Q3,2024,2024-09-30,1581187398.61,105946901.32,112879462.46,52.1749738028,-13.63,-3.43,0.1102,-18.49,3.222465863701,3.36,25.5519076433,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh9wc8o8jx2,300738,奥飞数据,2024Q4,2024,2024-12-31,2164819767.1,124085942.08,104159596.08,62.1837444502,-12.2,-17.92,0.13,-13.33,3.349556353441,3.92,26.3974000998,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh7w61rb5ra,300738,奥飞数据,2025Q1,2025,2025-03-31,535966430.05,51747572.54,54613412.22,40.6174893595,2.47,2.29,0.0529,-0.19,3.468856375012,1.53,31.5845606439,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh0jplidf0r,300738,奥飞数据,2025Q2,2025,2025-06-30,1147991587.7,87896925.76,86436285.89,8.2007360819,16.09,6.77,0.0895,13.43,3.506189212866,2.56,33.4940626926,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcljh8yjkvi1hw,300738,奥飞数据,2025Q3,2025,2025-09-30,1823522379.04,145449465.16,144345967.87,15.3261391182,37.29,27.88,0.148,34.3,3.566119049352,4.19,34.9948027902,5672300163.889999,409179905.54,2026-02-26T15:29:19.373Z
mm3mcmeig48jlzu8f,603799,华友钴业,2020Q4,2020,2020-12-31,21186843965.75,1164842854.12,1123978512.04,12.3801874455,874.48,,1.03,,8.693992467008,12.73,14.9752440057,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmein8k606lnn,603799,华友钴业,2021Q1,2021,2021-03-31,6424126825.03,654190512.39,658812946.68,45.1978322977,256.5,,0.56,,13.640445500138,5.34,20.6967271628,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeijslgw6a3b,603799,华友钴业,2021Q2,2021,2021-06-30,14293612635.27,1468407903.12,1416495948.42,57.9053794924,319.91,,0.95,,13.92099440773,10.08,19.9643803207,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeihe66cura6,603799,华友钴业,2021Q3,2021,2021-09-30,22796099457.17,2368710171.47,2318270821.8,53.626578134,244.95,,1.52,,14.699689194872,15.11,19.6019189112,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeiy1mc4mi8g,603799,华友钴业,2021Q4,2021,2021-12-31,35316548999.96,3897503525.74,3853492711.7,66.6909382872,234.59,242.84,2.49,141.75,15.87220671183,23.49,20.3459306263,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeiu0hh8yinl,603799,华友钴业,2022Q1,2022,2022-03-31,13211980166.94,1206305555.4,1189825340.37,105.6618825684,84.4,80.6,0.76,35.71,16.877323510529,6.03,18.4658277556,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeiqpe3tblf3,603799,华友钴业,2022Q2,2022,2022-06-30,31018304267.06,2255513730.9,2192290161.57,117.008149434,53.6,54.77,1.41,48.42,13.738248000406,10.53,19.2162988137,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmei6dbt9pvma,603799,华友钴业,2022Q3,2022,2022-09-30,48711968337.22,3007765274.63,2919035854.42,113.6855404967,26.98,25.91,1.91,25.66,14.520296568115,13.47,17.8447473564,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeiko3394644,603799,华友钴业,2022Q4,2022,2022-12-31,63033785499.49,3907615568.23,3978101753.6,78.4822902701,0.32,3.23,2.48,-0.4,15.252809954409,17.15,18.5933324175,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
