id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,amount,float_cap,turnover_rate,pe_ttm,pb,created_at
mm25qsy9qz5isz8ui,603160,汇顶科技,2026-02-25,1,78.900,78.890,79.180,78.570,3864000,304830960,36710000000,0.83,,,2026-02-25T14:56:42.513Z
mm1lw4i0nypbf5djw,688012,中微公司,2026-02-04,1,343.00,349.21,355.83,340.00,9283500,3241891035,231110000000,1.40,,,2026-02-25T05:40:58.440Z
mm1lw4i01i8tf7t9f,688012,中微公司,2026-02-05,1,340.00,356.88,361.16,338.88,11565600,4127531328,231110000000,1.79,,,2026-02-25T05:40:58.440Z
mm1lw4i0gt0kxdchs,688012,中微公司,2026-02-06,1,352.48,349.20,360.00,348.82,9194800,3210824160,231110000000,1.39,,,2026-02-25T05:40:58.440Z
mm1lw4i0yy4b7y4xe,688012,中微公司,2026-02-09,1,354.87,352.10,357.20,346.31,8590700,3024785470,231110000000,1.31,,,2026-02-25T05:40:58.440Z
mm1lw4i0ex6q77lhx,688012,中微公司,2026-02-10,1,352.10,350.49,353.00,346.37,6442400,2257996776,231110000000,0.98,,,2026-02-25T05:40:58.440Z
mm1lw4i0fx6qmdx3u,688012,中微公司,2026-02-11,1,348.00,346.86,349.50,343.01,5360800,1859447088,231110000000,0.80,,,2026-02-25T05:40:58.440Z
mm1lw4i031ajd8m0z,688012,中微公司,2026-02-12,1,349.00,345.00,351.20,337.99,9031600,3115902000,231110000000,1.35,,,2026-02-25T05:40:58.440Z
mm1lw4i0h9tvrqjn8,688012,中微公司,2026-02-13,1,342.83,344.50,353.45,341.31,8011500,2759961750,231110000000,1.19,,,2026-02-25T05:40:58.440Z
mm1lw4i06s63zftnc,688012,中微公司,2026-02-24,1,348.84,352.00,352.50,339.54,9905800,3486841600,231110000000,1.51,,,2026-02-25T05:40:58.440Z
mm25qtgn4ddr2ee1m,688012,中微公司,2026-02-25,1,351.300,369.100,376.220,339.880,17665293,6520259646,231110000000,2.82,,,2026-02-25T14:56:43.175Z
