id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,created_at
mm1m2v6uy5e7dmlu2,300661,圣邦股份,2026-02-25,1,70.10,70.70,70.86,69.40,91749,2026-02-25T05:46:12.966Z
mm1m2vow0p6hg9agm,000526,学大教育,2026-01-06,1,39.580,39.350,39.980,39.250,23117.000,2026-02-25T05:46:13.616Z
mm1m2vowvndmhthbf,000526,学大教育,2026-01-07,1,39.340,38.740,39.400,38.730,22219.000,2026-02-25T05:46:13.616Z
mm1m2vownoa024ypk,000526,学大教育,2026-01-08,1,38.610,39.150,39.800,38.550,29122.000,2026-02-25T05:46:13.616Z
mm1m2vowvg6u2lbnn,000526,学大教育,2026-01-09,1,39.450,39.850,40.250,39.020,35882.000,2026-02-25T05:46:13.616Z
mm1m2vow9m6n9nlnn,000526,学大教育,2026-01-12,1,40.200,40.990,40.990,39.760,46193.000,2026-02-25T05:46:13.616Z
mm1m2vow3qsm4ue3c,000526,学大教育,2026-01-13,1,41.330,41.790,42.990,40.200,88373.000,2026-02-25T05:46:13.616Z
mm1m2vowb3ugoga2m,000526,学大教育,2026-01-14,1,41.000,42.380,42.900,40.800,67733.000,2026-02-25T05:46:13.616Z
mm1m2vown34roef3i,000526,学大教育,2026-01-15,1,41.970,41.020,42.500,40.880,39525.000,2026-02-25T05:46:13.616Z
mm1m2vowftjmn2scd,000526,学大教育,2026-01-16,1,41.100,40.810,41.300,40.250,27504.000,2026-02-25T05:46:13.616Z
mm1m2vownan95sj7a,000526,学大教育,2026-01-19,1,40.490,40.480,40.780,40.250,21064.000,2026-02-25T05:46:13.616Z
mm1m2vowyq2ca7f1g,000526,学大教育,2026-01-20,1,40.590,40.360,40.720,40.060,15297.000,2026-02-25T05:46:13.616Z
mm1m2vowlzrtx329g,000526,学大教育,2026-01-21,1,40.300,40.640,40.660,39.910,14228.000,2026-02-25T05:46:13.616Z
mm1m2vow9pkwffyu5,000526,学大教育,2026-01-22,1,40.660,40.500,40.800,40.400,12462.000,2026-02-25T05:46:13.616Z
mm1m2vow32dkatrqa,000526,学大教育,2026-01-23,1,40.590,40.520,40.650,40.370,13476.000,2026-02-25T05:46:13.616Z
mm1m2vowovf5fqltt,000526,学大教育,2026-01-26,1,40.530,39.470,40.600,39.410,22046.000,2026-02-25T05:46:13.616Z
mm1m2vowrtfqayjxk,000526,学大教育,2026-01-27,1,39.770,39.090,40.090,38.880,17508.000,2026-02-25T05:46:13.616Z
mm1m2voweeezsrw0f,000526,学大教育,2026-01-28,1,38.920,38.100,39.290,38.030,24502.000,2026-02-25T05:46:13.616Z
mm1m2vowig2m4al9q,000526,学大教育,2026-01-29,1,37.980,38.400,38.860,37.550,18553.000,2026-02-25T05:46:13.616Z
mm1m2vowlb4y8ibuz,000526,学大教育,2026-01-30,1,38.460,38.050,38.790,37.920,15904.000,2026-02-25T05:46:13.616Z
mm1m2vow6actwyd70,000526,学大教育,2026-02-02,1,38.040,37.880,38.380,37.600,11235.000,2026-02-25T05:46:13.616Z
mm1m2vowpsyy42bmo,000526,学大教育,2026-02-03,1,38.130,38.270,38.280,37.850,11834.000,2026-02-25T05:46:13.616Z
mm1m2vowzvwyb2jei,000526,学大教育,2026-02-04,1,38.060,37.850,38.280,37.400,16661.000,2026-02-25T05:46:13.616Z
mm1m2vowzdbjdztw4,000526,学大教育,2026-02-05,1,37.800,38.380,38.470,37.660,17543.000,2026-02-25T05:46:13.616Z
mm1m2vowi99818dxq,000526,学大教育,2026-02-06,1,38.250,38.400,38.660,38.220,11508.000,2026-02-25T05:46:13.616Z
mm1m2vowux5zvg2jn,000526,学大教育,2026-02-09,1,38.680,38.340,38.690,38.150,14339.000,2026-02-25T05:46:13.616Z
mm1m2vowvkivmvnr4,000526,学大教育,2026-02-10,1,38.330,38.660,38.660,38.160,12887.000,2026-02-25T05:46:13.616Z
mm1m2vowl73qzi7h2,000526,学大教育,2026-02-11,1,38.590,38.070,38.590,38.030,14414.000,2026-02-25T05:46:13.616Z
mm1m2vowxbmgg09gu,000526,学大教育,2026-02-12,1,38.140,37.720,38.180,37.610,13363.000,2026-02-25T05:46:13.616Z
mm1m2vowzjxbephrp,000526,学大教育,2026-02-13,1,37.720,37.500,37.920,37.490,9324.000,2026-02-25T05:46:13.616Z
mm1m2vowrgiz4fs9l,000526,学大教育,2026-02-24,1,37.910,37.770,38.030,37.250,9797.000,2026-02-25T05:46:13.616Z
mm1m2vowrvs81yymg,000526,学大教育,2026-02-25,1,37.77,37.50,37.92,37.45,9730,2026-02-25T05:46:13.616Z
mm1m2w7fk4tb075wq,688234,天岳先进,2026-01-06,1,88.990,89.860,92.000,87.500,9619634.000,2026-02-25T05:46:14.283Z
mm1m2w7fs3zq6jwa8,688234,天岳先进,2026-01-07,1,91.010,94.050,95.490,89.400,12315956.000,2026-02-25T05:46:14.283Z
mm1m2w7fy6cl6m4x1,688234,天岳先进,2026-01-08,1,94.050,92.340,94.930,91.240,8356453.000,2026-02-25T05:46:14.283Z
mm1m2w7f5foxgorix,688234,天岳先进,2026-01-09,1,92.300,92.950,94.300,90.890,8958676.000,2026-02-25T05:46:14.283Z
mm1m2w7f47rpswjxq,688234,天岳先进,2026-01-12,1,93.250,96.000,97.600,91.850,11187889.000,2026-02-25T05:46:14.283Z
mm1m2w7fkh33xlhwj,688234,天岳先进,2026-01-13,1,96.000,90.800,96.000,90.500,8395992.000,2026-02-25T05:46:14.283Z
mm1m2w7fy0x8kew42,688234,天岳先进,2026-01-14,1,90.910,91.490,94.760,90.100,10833177.000,2026-02-25T05:46:14.283Z
mm1m2w7fbi6i9b6m8,688234,天岳先进,2026-01-15,1,91.950,92.660,96.480,90.300,9721420.000,2026-02-25T05:46:14.283Z
mm1m2w7fapoejgs5u,688234,天岳先进,2026-01-16,1,96.300,111.190,111.190,96.300,21346892.000,2026-02-25T05:46:14.283Z
mm1m2w7flc5zk3vhn,688234,天岳先进,2026-01-19,1,111.300,109.430,112.500,103.550,24438409.000,2026-02-25T05:46:14.283Z
mm1m2w7f0tbmmw9an,688234,天岳先进,2026-01-20,1,109.000,109.600,114.940,107.680,18060963.000,2026-02-25T05:46:14.283Z
mm1m2w7fnjqksynrf,688234,天岳先进,2026-01-21,1,107.300,114.640,116.360,104.000,17824723.000,2026-02-25T05:46:14.283Z
mm1m2w7frzsce2hnw,688234,天岳先进,2026-01-22,1,113.000,111.580,114.500,107.180,13890079.000,2026-02-25T05:46:14.283Z
mm1m2w7fq6jcay16l,688234,天岳先进,2026-01-23,1,111.000,111.900,113.840,108.500,10622127.000,2026-02-25T05:46:14.283Z
mm1m2w7fxda627qyw,688234,天岳先进,2026-01-26,1,110.800,101.270,111.500,100.720,16668559.000,2026-02-25T05:46:14.283Z
mm1m2w7fub1y4il9b,688234,天岳先进,2026-01-27,1,98.100,96.870,99.330,92.320,16353163.000,2026-02-25T05:46:14.283Z
mm1m2w7fkmf0qs4t5,688234,天岳先进,2026-01-28,1,96.500,95.740,97.880,93.850,9479540.000,2026-02-25T05:46:14.283Z
mm1m2w7f1ftstioih,688234,天岳先进,2026-01-29,1,95.500,89.310,96.810,89.000,13227219.000,2026-02-25T05:46:14.283Z
mm1m2w7fhvsamd4q2,688234,天岳先进,2026-01-30,1,90.500,87.220,90.500,85.600,8378080.000,2026-02-25T05:46:14.283Z
mm1m2w7f9gpq9w74l,688234,天岳先进,2026-02-02,1,86.710,83.940,87.570,83.910,8192710.000,2026-02-25T05:46:14.283Z
mm1m2w7fpkxsvblwh,688234,天岳先进,2026-02-03,1,85.940,89.990,90.770,84.550,11020555.000,2026-02-25T05:46:14.283Z
mm1m2w7famjaierag,688234,天岳先进,2026-02-04,1,89.030,91.080,91.130,87.860,6872644.000,2026-02-25T05:46:14.283Z
mm1m2w7ftw0xhoga4,688234,天岳先进,2026-02-05,1,89.330,93.580,94.970,88.090,10522555.000,2026-02-25T05:46:14.283Z
mm1m2w7fkgtsuq71v,688234,天岳先进,2026-02-06,1,92.100,93.180,97.270,91.000,6769265.000,2026-02-25T05:46:14.283Z
mm1m2w7fftmi2uao0,688234,天岳先进,2026-02-09,1,95.010,96.490,98.990,94.670,7601075.000,2026-02-25T05:46:14.283Z
mm1m2w7frzza0tdtu,688234,天岳先进,2026-02-10,1,96.520,94.290,97.560,94.010,5241090.000,2026-02-25T05:46:14.283Z
mm1m2w7fj7j8onj5o,688234,天岳先进,2026-02-11,1,94.290,92.190,95.000,91.910,3646158.000,2026-02-25T05:46:14.283Z
mm1m2w7f4kid5n0oi,688234,天岳先进,2026-02-12,1,93.000,92.600,93.880,92.010,3891258.000,2026-02-25T05:46:14.283Z
mm1m2w7f8l32wzimt,688234,天岳先进,2026-02-13,1,92.280,91.240,94.400,91.240,3998650.000,2026-02-25T05:46:14.283Z
mm1m2w7ffgx5r9u32,688234,天岳先进,2026-02-24,1,92.590,94.220,96.400,91.500,6117047.000,2026-02-25T05:46:14.283Z
mm1m2w7f75iy3yhyv,688234,天岳先进,2026-02-25,1,94.89,95.89,96.66,94.22,4471286,2026-02-25T05:46:14.283Z
mm1m2xpf873uat1j0,002315,焦点科技,2026-01-06,1,48.000,48.220,48.550,46.990,108348.000,2026-02-25T05:46:16.227Z
mm1m2xpfanjszkn26,002315,焦点科技,2026-01-07,1,48.000,47.450,48.430,47.320,55122.000,2026-02-25T05:46:16.227Z
mm1m2xpf9fuqevrky,002315,焦点科技,2026-01-08,1,47.300,48.680,49.880,47.060,93903.000,2026-02-25T05:46:16.227Z
mm1m2xpf0jz7m03u7,002315,焦点科技,2026-01-09,1,48.410,53.270,53.550,48.410,225131.000,2026-02-25T05:46:16.227Z
mm1m2xpfzb007c3tc,002315,焦点科技,2026-01-12,1,54.900,58.300,58.600,54.700,363503.000,2026-02-25T05:46:16.227Z
mm1m2xpfmpiigc0ly,002315,焦点科技,2026-01-13,1,58.740,57.700,60.770,56.350,288229.000,2026-02-25T05:46:16.227Z
mm1m2xpf82c5o7dkk,002315,焦点科技,2026-01-14,1,56.520,61.220,63.470,56.490,319334.000,2026-02-25T05:46:16.227Z
mm1m2xpfej06ovllj,002315,焦点科技,2026-01-15,1,60.120,57.230,60.300,56.000,261409.000,2026-02-25T05:46:16.227Z
mm1m2xpfl5o6wwq9m,002315,焦点科技,2026-01-16,1,56.610,56.690,58.650,54.850,174078.000,2026-02-25T05:46:16.227Z
mm1m2xpf7k5lkkh8a,002315,焦点科技,2026-01-19,1,56.200,54.060,57.250,53.800,141470.000,2026-02-25T05:46:16.227Z
mm1m2xpfio42vluiw,002315,焦点科技,2026-01-20,1,54.490,53.600,54.780,53.090,90256.000,2026-02-25T05:46:16.227Z
mm1m2xpfh3egpg72z,002315,焦点科技,2026-01-21,1,53.220,52.930,54.200,52.400,100251.000,2026-02-25T05:46:16.227Z
mm1m2xpf7h83w2crw,002315,焦点科技,2026-01-22,1,52.970,53.000,54.680,52.670,90398.000,2026-02-25T05:46:16.227Z
mm1m2xpfkbr6zzjtt,002315,焦点科技,2026-01-23,1,53.230,53.720,54.430,52.900,101265.000,2026-02-25T05:46:16.227Z
mm1m2xpfv2ip2dvuy,002315,焦点科技,2026-01-26,1,54.290,53.460,56.150,52.630,126300.000,2026-02-25T05:46:16.227Z
mm1m2xpfuqzz1swvc,002315,焦点科技,2026-01-27,1,53.410,53.830,54.830,52.500,88626.000,2026-02-25T05:46:16.227Z
